Index,Time,openloop_spd_ref,openloop_spd_fdb
0,0,0,0
1,0.00126,0,0
2,0.002262,0,0
3,0.003246,0,0
4,0.004261,0,0
5,0.005245,0,0
6,0.006247,0,0
7,0.007246,0,0
8,0.008247,0,0
9,0.009246,0,0
10,0.010248,0,0
11,0.011242,0,0
12,0.012244,0,0
13,0.013243,0,0
14,0.014321,0,0
15,0.015247,0,0
16,0.016246,0,0
17,0.017248,0,0
18,0.018247,0,0
19,0.019248,0,0
20,0.020247,0,0
21,0.021244,0,0
22,0.022243,0,0
23,0.023245,0,0
24,0.024259,0,0
25,0.025246,0,0
26,0.026245,0,0
27,0.027247,0,0
28,0.028246,0,0
29,0.029248,0,0
30,0.030246,0,0
31,0.031244,0,0
32,0.032242,0,0
33,0.033244,0,0
34,0.034243,0,0
35,0.035286,0,0
36,0.036248,0,0
37,0.037247,0,0
38,0.038241,0,0
39,0.039248,0,0
40,0.040242,0,0
41,0.041243,0,0
42,0.042245,0,0
43,0.043244,0,0
44,0.044246,0,0
45,0.045245,0,0
46,0.046262,0,0
47,0.047246,0,0
48,0.048248,0,0
49,0.049247,0,0
50,0.050248,0,0
51,0.051243,0,0
52,0.052244,0,0
53,0.053408,0,0
54,0.054244,0,0
55,0.055243,0,0
56,0.056244,0,0
57,0.057258,0,0
58,0.058245,0,0
59,0.059244,0,0
60,0.060246,0,0
61,0.061248,0,0
62,0.062242,0,0
63,0.063248,0,0
64,0.064242,0,0
65,0.065249,0,0
66,0.066243,0,0
67,0.067241,0,0
68,0.068256,0,0
69,0.069243,0,0
70,0.070242,0,0
71,0.071246,0,0
72,0.072246,0,0
73,0.073247,0,0
74,0.074246,0,0
75,0.075248,0,0
76,0.076247,0,0
77,0.077248,0,0
78,0.078247,0,0
79,0.079345,0,0
80,0.080243,0,0
81,0.081245,0,0
82,0.082247,0,0
83,0.083246,0,0
84,0.084247,0,0
85,0.085247,0,0
86,0.086248,0,0
87,0.087247,0,0
88,0.088249,0,0
89,0.089247,0,0
90,0.090387,0,0
91,0.091248,0,0
92,0.092247,0,0
93,0.093242,0,0
94,0.094248,0,0
95,0.095242,0,0
96,0.096248,0,0
97,0.097242,0,0
98,0.098241,0,0
99,0.099243,0,0
100,0.100281,0,0
101,0.101243,0,0
102,0.102242,0,0
103,0.103244,0,0
104,0.104243,0,0
105,0.105244,0,0
106,0.106261,0,0
107,0.107245,0,0
108,0.108246,0,0
109,0.109245,0,0
110,0.110247,0,0
111,0.111256,0,0
112,0.112248,0,0
113,0.113242,0,0
114,0.114248,0,0
115,0.115242,0,0
116,0.116241,0,0
117,0.117243,0,0
118,0.118242,0,0
119,0.119244,0,0
120,0.120242,0,0
121,0.121323,0,0
122,0.122244,0,0
123,0.123243,0,0
124,0.124244,0,0
125,0.125243,0,0
126,0.126245,0,0
127,0.127244,0,0
128,0.128246,0,0
129,0.129245,0,0
130,0.130246,0,0
131,0.131248,0,0
132,0.13226,0,0
133,0.133245,0,0
134,0.134246,0,0
135,0.135245,0,0
136,0.136247,0,0
137,0.137246,0,0
138,0.138247,0,0
139,0.139246,0,0
140,0.140248,0,0
141,0.141242,0,0
142,0.142244,0,0
143,0.143263,0,0
144,0.144241,0,0
145,0.145248,0,0
146,0.146242,0,0
147,0.147249,0,0
148,0.148243,0,0
149,0.149242,0,0
150,0.150243,0,0
151,0.151245,0,0
152,0.152247,0,0
153,0.153246,0,0
154,0.154256,0,0
155,0.155248,0,0
156,0.156242,0,0
157,0.157248,0,0
158,0.158242,0,0
159,0.159249,0,0
160,0.160243,0,0
161,0.161244,0,0
162,0.162246,0,0
163,0.163245,0,0
164,0.164246,0,0
165,0.165259,0,0
166,0.166243,0,0
167,0.167258,0,0
168,0.168242,0,0
169,0.169244,0,0
170,0.170243,0,0
171,0.171247,0,0
172,0.172246,0,0
173,0.173248,0,0
174,0.174247,0,0
175,0.175262,0,0
176,0.176248,0,0
177,0.177247,0,0
178,0.178241,0,0
179,0.179248,0,0
180,0.180242,0,0
181,0.181244,0,0
182,0.182245,0,0
183,0.183244,0,0
184,0.184246,0,0
185,0.185245,0,0
186,0.186258,0,0
187,0.187242,0,0
188,0.188244,0,0
189,0.189243,0,0
190,0.190244,0,0
191,0.191246,0,0
192,0.192248,0,0
193,0.193246,0,0
194,0.194248,0,0
195,0.195275,0,0
196,0.196243,0,0
197,0.197243,0,0
198,0.198244,0,0
199,0.199243,0,0
200,0.200245,0,0
201,0.201247,0,0
202,0.202249,0,0
203,0.203247,0,0
204,0.204241,0,0
205,0.205248,0,0
206,0.206257,0,0
207,0.207248,0,0
208,0.208242,0,0
209,0.209249,0,0
210,0.210243,0,0
211,0.211244,0,0
212,0.212246,0,0
213,0.213245,0,0
214,0.214247,0,0
215,0.215246,0,0
216,0.216256,0,0
217,0.217243,0,0
218,0.21826,0,0
219,0.219246,0,0
220,0.220245,0,0
221,0.221242,0,0
222,0.222249,0,0
223,0.223243,0,0
224,0.224241,0,0
225,0.225243,0,0
226,0.226263,0,0
227,0.227242,0,0
228,0.228241,0,0
229,0.229243,0,0
230,0.230242,0,0
231,0.231247,0,0
232,0.232246,0,0
233,0.233247,0,0
234,0.234246,0,0
235,0.235248,0,0
236,0.236427,0,0
237,0.237247,0,0
238,0.238247,0,0
239,0.239248,0,0
240,0.240247,0,0
241,0.241244,0,0
242,0.242243,0,0
243,0.243245,0,0
244,0.244244,0,0
245,0.245245,0,0
246,0.246244,0,0
247,0.247259,0,0
248,0.248246,0,0
249,0.249245,0,0
250,0.250246,0,0
251,0.251248,0,0
252,0.252242,0,0
253,0.253241,0,0
254,0.254243,0,0
255,0.255242,0,0
256,0.256243,0,0
257,0.257263,0,0
258,0.258242,0,0
259,0.259241,0,0
260,0.260243,0,0
261,0.261245,0,0
262,0.262247,0,0
263,0.263246,0,0
264,0.264247,0,0
265,0.265246,0,0
266,0.266248,0,0
267,0.267429,0,0
268,0.268249,0,0
269,0.269256,0,0
270,0.270248,0,0
271,0.271245,0,0
272,0.272244,0,0
273,0.273245,0,0
274,0.274244,0,0
275,0.275246,0,0
276,0.276245,0,0
277,0.277246,0,0
278,0.278257,0,0
279,0.279244,0,0
280,0.280243,0,0
281,0.281248,0,0
282,0.282246,0,0
283,0.283248,0,0
284,0.284247,0,0
285,0.285241,0,0
286,0.286248,0,0
287,0.287242,0,0
288,0.288262,0,0
289,0.289241,0,0
290,0.290248,0,0
291,0.291245,0,0
292,0.292244,0,0
293,0.293246,0,0
294,0.294245,0,0
295,0.295246,0,0
296,0.296245,0,0
297,0.297247,0,0
298,0.298246,0,0
299,0.299247,0,0
300,0.300258,0,0
301,0.301248,0,0
302,0.302247,0,0
303,0.303241,0,0
304,0.304248,0,0
305,0.305242,0,0
306,0.306248,0,0
307,0.307242,0,0
308,0.308249,0,0
309,0.309243,0,0
310,0.31029,0,0
311,0.311242,0,0
312,0.312241,0,0
313,0.313243,0,0
314,0.314242,0,0
315,0.315243,0,0
316,0.316242,0,0
317,0.317244,0,0
318,0.318243,0,0
319,0.319244,0,0
320,0.320243,0,0
321,0.321259,0,0
322,0.322245,0,0
323,0.32326,0,0
324,0.324247,0,0
325,0.325246,0,0
326,0.326248,0,0
327,0.327247,0,0
328,0.328248,0,0
329,0.329247,0,0
330,0.330241,0,0
331,0.331304,0,0
332,0.332245,0,0
333,0.333245,0,0
334,0.334246,0,0
335,0.335245,0,0
336,0.336247,0,0
337,0.337246,0,0
338,0.338247,0,0
339,0.339246,0,0
340,0.340248,0,0
341,0.341242,0,0
342,0.342257,0,0
343,0.343244,0,0
344,0.344243,0,0
345,0.345244,0,0
346,0.346243,0,0
347,0.347245,0,0
348,0.348244,0,0
349,0.349246,0,0
350,0.350245,0,0
351,0.351242,0,0
352,0.352432,0,0
353,0.353244,0,0
354,0.354243,0,0
355,0.355245,0,0
356,0.356244,0,0
357,0.357246,0,0
358,0.358244,0,0
359,0.359246,0,0
360,0.360245,0,0
361,0.361242,0,0
362,0.362248,0,0
363,0.363286,0,0
364,0.364246,0,0
365,0.365245,0,0
366,0.366247,0,0
367,0.367246,0,0
368,0.368247,0,0
369,0.369246,0,0
370,0.370248,0,0
371,0.371242,0,0
372,0.372244,0,0
373,0.373243,0,0
374,0.374244,0,0
375,0.375256,0,0
376,0.376248,0,0
377,0.377242,0,0
378,0.378248,0,0
379,0.379243,0,0
380,0.380241,0,0
381,0.381256,0,0
382,0.382248,0,0
383,0.383242,0,0
384,0.384248,0,0
385,0.385266,0,0
386,0.386263,0,0
387,0.387247,0,0
388,0.388249,0,0
389,0.389248,0,0
390,0.390242,0,0
391,0.391243,0,0
392,0.392245,0,0
393,0.393244,0,0
394,0.394246,0,0
395,0.395244,0,0
396,0.396261,0,0
397,0.397246,0,0
398,0.398247,0,0
399,0.399246,0,0
400,0.400248,0,0
401,0.401242,0,0
402,0.402244,0,0
403,0.403243,0,0
404,0.404244,0,0
405,0.405243,0,0
406,0.406245,0,0
407,0.407257,0,0
408,0.408248,0,0
409,0.409242,0,0
410,0.410249,0,0
411,0.411246,0,0
412,0.412245,0,0
413,0.413246,0,0
414,0.414245,0,0
415,0.415247,0,0
416,0.416246,0,0
417,0.417262,0,0
418,0.418248,0,0
419,0.419248,0,0
420,0.420242,0,0
421,0.421243,0,0
422,0.422245,0,0
423,0.423244,0,0
424,0.424246,0,0
425,0.425245,0,0
426,0.426246,0,0
427,0.427269,0,0
428,0.428257,0,0
429,0.429249,0,0
430,0.430243,0,0
431,0.431244,0,0
432,0.432246,0,0
433,0.433245,0,0
434,0.434246,0,0
435,0.435245,0,0
436,0.436247,0,0
437,0.437246,0,0
438,0.438263,0,0
439,0.439259,0,0
440,0.440246,0,0
441,0.441248,0,0
442,0.442242,0,0
443,0.443248,0,0
444,0.444242,0,0
445,0.445241,0,0
446,0.446243,0,0
447,0.447242,0,0
448,0.448243,0,0
449,0.449257,0,0
450,0.450248,0,0
451,0.451245,0,0
452,0.452244,0,0
453,0.453246,0,0
454,0.454245,0,0
455,0.455247,0,0
456,0.456246,0,0
457,0.457247,0,0
458,0.458246,0,0
459,0.459284,0,0
460,0.460248,0,0
461,0.461243,0,0
462,0.462244,0,0
463,0.463243,0,0
464,0.464245,0,0
465,0.465244,0,0
466,0.466245,0,0
467,0.467244,0,0
468,0.468246,0,0
469,0.469245,0,0
470,0.470262,0,0
471,0.471244,0,0
472,0.472243,0,0
473,0.473244,0,0
474,0.474243,0,0
475,0.475245,0,0
476,0.476244,0,0
477,0.477246,0,0
478,0.478245,0,0
479,0.479246,0,0
480,0.480293,0,0
481,0.481242,0,0
482,0.482241,0,0
483,0.483243,0,0
484,0.484242,0,0
485,0.485244,0,0
486,0.486243,0,0
487,0.487244,0,0
488,0.488243,0,0
489,0.489245,0,0
490,0.490243,0,0
491,0.491285,0,0
492,0.492241,0,0
493,0.493248,0,0
494,0.494242,0,0
495,0.495249,0,0
496,0.496243,0,0
497,0.497242,0,0
498,0.498399,0,0
499,0.499242,0,0
500,0.500248,0,0
501,0.501246,0,0
502,0.502246,0,0
503,0.50326,0,0
504,0.504244,0,0
505,0.505245,0,0
506,0.506244,0,0
507,0.507246,0,0
508,0.508245,0,0
509,0.509247,0,0
510,0.510246,0,0
511,0.511243,0,0
512,0.512242,0,0
513,0.513257,0,0
514,0.514243,0,0
515,0.515243,0,0
516,0.516244,0,0
517,0.517243,0,0
518,0.518245,0,0
519,0.519244,0,0
520,0.520245,0,0
521,0.521247,0,0
522,0.522241,0,0
523,0.523248,0,0
524,0.524242,0,0
525,0.52526,0,0
526,0.526246,0,0
527,0.527245,0,0
528,0.528247,0,0
529,0.529246,0,0
530,0.530247,0,0
531,0.531242,0,0
532,0.532244,0,0
533,0.533243,0,0
534,0.534244,0,0
535,0.535343,0,0
536,0.536243,0,0
537,0.537243,0,0
538,0.538244,0,0
539,0.539243,0,0
540,0.540245,0,0
541,0.541247,0,0
542,0.542248,0,0
543,0.543247,0,0
544,0.544241,0,0
545,0.545248,0,0
546,0.546242,0,0
547,0.547256,0,0
548,0.548242,0,0
549,0.549242,0,0
550,0.550243,0,0
551,0.55127,0,0
552,0.552262,0,0
553,0.553247,0,0
554,0.554248,0,0
555,0.555247,0,0
556,0.556241,0,0
557,0.557248,0,0
558,0.55826,0,0
559,0.559247,0,0
560,0.560246,0,0
561,0.561243,0,0
562,0.562242,0,0
563,0.563244,0,0
564,0.564243,0,0
565,0.565244,0,0
566,0.566243,0,0
567,0.567245,0,0
568,0.568244,0,0
569,0.569281,0,0
570,0.570242,0,0
571,0.571244,0,0
572,0.572246,0,0
573,0.573245,0,0
574,0.574247,0,0
575,0.575246,0,0
576,0.576247,0,0
577,0.577246,0,0
578,0.578248,0,0
579,0.579247,0,0
580,0.580248,0,0
581,0.581258,0,0
582,0.582244,0,0
583,0.583243,0,0
584,0.584245,0,0
585,0.585244,0,0
586,0.586246,0,0
587,0.587245,0,0
588,0.588246,0,0
589,0.589245,0,0
590,0.590247,0,0
591,0.591249,0,0
592,0.59226,0,0
593,0.593247,0,0
594,0.594246,0,0
595,0.595248,0,0
596,0.596247,0,0
597,0.597248,0,0
598,0.598247,0,0
599,0.599241,0,0
600,0.600248,0,0
601,0.601245,0,0
602,0.602243,0,0
603,0.603331,0,0
604,0.604241,0,0
605,0.605248,0,0
606,0.606242,0,0
607,0.607241,0,0
608,0.608243,0,0
609,0.609242,0,0
610,0.610243,0,0
611,0.611245,0,0
612,0.612247,0,0
613,0.613246,0,0
614,0.614281,0,0
615,0.615244,0,0
616,0.616243,0,0
617,0.617245,0,0
618,0.618244,0,0
619,0.619245,0,0
620,0.620244,0,0
621,0.621242,0,0
622,0.622248,0,0
623,0.623242,0,0
624,0.624257,0,0
625,0.62526,0,0
626,0.626244,0,0
627,0.627246,0,0
628,0.628245,0,0
629,0.629247,0,0
630,0.630246,0,0
631,0.631243,0,0
632,0.632241,0,0
633,0.633243,0,0
634,0.634242,0,0
635,0.635258,0,0
636,0.636242,0,0
637,0.637244,0,0
638,0.638243,0,0
639,0.639244,0,0
640,0.640243,0,0
641,0.641248,0,0
642,0.642247,0,0
643,0.643248,0,0
644,0.644247,0,0
645,0.645314,0,0
646,0.646247,0,0
647,0.647247,0,0
648,0.648248,0,0
649,0.649247,0,0
650,0.650241,0,0
651,0.651243,0,0
652,0.652245,0,0
653,0.653244,0,0
654,0.654245,0,0
655,0.655269,0,0
656,0.656257,0,0
657,0.657241,0,0
658,0.658259,0,0
659,0.659243,0,0
660,0.660245,0,0
661,0.661247,0,0
662,0.662248,0,0
663,0.663247,0,0
664,0.664241,0,0
665,0.665248,0,0
666,0.666242,0,0
667,0.667257,0,0
668,0.668248,0,0
669,0.669242,0,0
670,0.670241,0,0
671,0.671246,0,0
672,0.672245,0,0
673,0.673246,0,0
674,0.674245,0,0
675,0.675247,0,0
676,0.676246,0,0
677,0.677258,0,0
678,0.678244,0,0
679,0.679244,0,0
680,0.680245,0,0
681,0.681247,0,0
682,0.682241,0,0
683,0.683248,0,0
684,0.684242,0,0
685,0.685248,0,0
686,0.686242,0,0
687,0.687263,0,0
688,0.688242,0,0
689,0.689248,0,0
690,0.690242,0,0
691,0.691244,0,0
692,0.692246,0,0
693,0.693245,0,0
694,0.694246,0,0
695,0.695245,0,0
696,0.696247,0,0
697,0.697246,0,0
698,0.698247,0,0
699,0.69926,0,0
700,0.700246,0,0
701,0.701241,0,0
702,0.702243,0,0
703,0.703242,0,0
704,0.704243,0,0
705,0.705242,0,0
706,0.706244,0,0
707,0.707243,0,0
708,0.708244,0,0
709,0.709243,0,0
710,0.710263,0,0
711,0.711242,0,0
712,0.712244,0,0
713,0.713243,0,0
714,0.714244,0,0
715,0.715267,0,0
716,0.716261,0,0
717,0.717245,0,0
718,0.718247,0,0
719,0.719246,0,0
720,0.72026,0,0
721,0.721242,0,0
722,0.722241,0,0
723,0.723243,0,0
724,0.724242,0,0
725,0.725244,0,0
726,0.726242,0,0
727,0.727244,0,0
728,0.728243,0,0
729,0.729245,0,0
730,0.730243,0,0
731,0.731261,0,0
732,0.732243,0,0
733,0.733242,0,0
734,0.734244,0,0
735,0.735243,0,0
736,0.736244,0,0
737,0.737243,0,0
738,0.738245,0,0
739,0.739244,0,0
740,0.740245,0,0
741,0.741247,0,0
742,0.742276,0,0
743,0.743247,0,0
744,0.744246,0,0
745,0.745248,0,0
746,0.746247,0,0
747,0.747249,0,0
748,0.748247,0,0
749,0.749242,0,0
750,0.750248,0,0
751,0.751245,0,0
752,0.752321,0,0
753,0.753248,0,0
754,0.754247,0,0
755,0.755241,0,0
756,0.756248,0,0
757,0.757242,0,0
758,0.758248,0,0
759,0.759242,0,0
760,0.760249,0,0
761,0.761246,0,0
762,0.762316,0,0
763,0.763244,0,0
764,0.764243,0,0
765,0.765245,0,0
766,0.766244,0,0
767,0.767246,0,0
768,0.768245,0,0
769,0.769246,0,0
770,0.770245,0,0
771,0.77126,0,0
772,0.772246,0,0
773,0.773245,0,0
774,0.774312,0,0
775,0.775245,0,0
776,0.776245,0,0
777,0.777246,0,0
778,0.778245,0,0
779,0.779247,0,0
780,0.780246,0,0
781,0.781243,0,0
782,0.782242,0,0
783,0.783244,0,0
784,0.784242,0,0
785,0.785259,0,0
786,0.786243,0,0
787,0.787245,0,0
788,0.788243,0,0
789,0.789245,0,0
790,0.790244,0,0
791,0.791241,0,0
792,0.792248,0,0
793,0.793242,0,0
794,0.794248,0,0
795,0.795259,0,0
796,0.796243,0,0
797,0.797245,0,0
798,0.798244,0,0
799,0.799246,0,0
800,0.800245,0,0
801,0.801242,0,0
802,0.802248,0,0
803,0.803242,0,0
804,0.804249,0,0
805,0.805243,0,0
806,0.806258,0,0
807,0.807244,0,0
808,0.808244,0,0
809,0.809245,0,0
810,0.810244,0,0
811,0.811241,0,0
812,0.812248,0,0
813,0.813242,0,0
814,0.814248,0,0
815,0.815242,0,0
816,0.816311,0,0
817,0.817243,0,0
818,0.818242,0,0
819,0.819244,0,0
820,0.820243,0,0
821,0.821247,0,0
822,0.822246,0,0
823,0.823248,0,0
824,0.824247,0,0
825,0.82526,0,0
826,0.826244,0,0
827,0.827259,0,0
828,0.828246,0,0
829,0.829245,0,0
830,0.830247,0,0
831,0.831249,0,0
832,0.832243,0,0
833,0.833242,0,0
834,0.834243,0,0
835,0.835242,0,0
836,0.836244,0,0
837,0.837243,0,0
838,0.838263,0,0
839,0.839247,0,0
840,0.840249,0,0
841,0.841243,0,0
842,0.842244,0,0
843,0.843243,0,0
844,0.844245,0,0
845,0.845244,0,0
846,0.846246,0,0
847,0.847244,0,0
848,0.848315,0,0
849,0.849244,0,0
850,0.850243,0,0
851,0.851248,0,0
852,0.852247,0,0
853,0.853248,0,0
854,0.854247,0,0
855,0.855241,0,0
856,0.856248,0,0
857,0.857242,0,0
858,0.858248,0,0
859,0.859242,0,0
860,0.860258,0,0
861,0.861247,0,0
862,0.862247,0,0
863,0.863248,0,0
864,0.864247,0,0
865,0.865241,0,0
866,0.866248,0,0
867,0.867242,0,0
868,0.868248,0,0
869,0.869242,0,0
870,0.870249,0,0
871,0.871257,0,0
