Index,Time,openloop_spd_ref,openloop_spd_fdb,start_ident_flag
1000,1.000446,-4919.71289,-2.43132663,1
1001,1.001439,-4898.03516,-2.43132663,1
1002,1.002444,-4876.16455,-2.46328449,1
1003,1.003439,-4854.10107,-2.50163412,1
1004,1.004444,-4831.84619,-2.50163412,1
1005,1.005446,-4809.40039,-2.50163412,1
1006,1.006468,-4786.76611,-2.50163412,1
1007,1.007457,-4763.94189,-2.50163412,1
1008,1.008439,-4740.9292,-2.50163412,1
1009,1.009441,-4717.729,-2.50163412,1
1010,1.010446,-4694.34326,-2.53465724,1
1011,1.01144,-4670.77148,-2.53465724,1
1012,1.012445,-4647.01758,-2.53465724,1
1013,1.013442,-4623.07812,-2.53465724,1
1014,1.01444,-4598.95654,-2.56874585,1
1015,1.015441,-4574.65332,-2.59005094,1
1016,1.016439,-4550.16943,-2.59005094,1
1017,1.017465,-4525.50537,-2.59005094,1
1018,1.018458,-4500.66504,-2.59005094,1
1019,1.019442,-4475.64502,-2.59005094,1
1020,1.020444,-4450.44873,-2.59005094,1
1021,1.021442,-4425.07617,-2.59005094,1
1022,1.022468,-4399.5293,-2.61561728,1
1023,1.023459,-4373.80859,-2.61561728,1
1024,1.02444,-4347.91699,-2.61561728,1
1025,1.025442,-4321.854,-2.61561728,1
1026,1.02644,-4295.61816,-2.64757538,1
1027,1.027442,-4269.21289,-2.65822792,1
1028,1.028463,-4242.63916,-2.65822792,1
1029,1.029459,-4215.89795,-2.65822792,1
1030,1.03044,-4188.99219,-2.65822792,1
1031,1.031442,-4161.91943,-2.65822792,1
1032,1.03244,-4134.68164,-2.65822792,1
1033,1.033444,-4107.28125,-2.65822792,1
1034,1.034442,-4079.71826,-2.69018579,1
1035,1.035443,-4051.99438,-2.69018579,1
1036,1.036439,-4024.11279,-2.69018579,1
1037,1.03744,-3996.07007,-2.69018579,1
1038,1.038444,-3967.86963,-2.70829535,1
1039,1.039455,-3939.51245,-2.72533965,1
1040,1.040439,-3910.99976,-2.72533965,1
1041,1.04144,-3882.33276,-2.72533965,1
1042,1.042445,-3853.51465,-2.72533965,1
1043,1.04344,-3824.54224,-2.72533965,1
1044,1.044445,-3795.4187,-2.72533965,1
1045,1.045446,-3766.14551,-2.72533965,1
1046,1.046443,-3736.72363,-2.73492694,1
1047,1.047444,-3707.15405,-2.73492694,1
1048,1.04844,-3677.44043,-2.73492694,1
1049,1.049465,-3647.57959,-2.73492694,1
1050,1.05046,-3617.57446,-2.74984074,1
1051,1.05144,-3587.42676,-2.76049328,1
1052,1.052442,-3557.13721,-2.76049328,1
1053,1.053442,-3526.70947,-2.76049328,1
1054,1.054443,-3496.14282,-2.76049328,1
1055,1.055439,-3465.43555,-2.76049328,1
1056,1.05644,-3434.5918,-2.76049328,1
1057,1.057445,-3403.61206,-2.76049328,1
1058,1.058446,-3372.49829,-2.77647233,1
1059,1.059442,-3341.25122,-2.77647233,1
1060,1.060525,-3309.87451,-2.77647233,1
1061,1.061439,-3278.36499,-2.77647233,1
1062,1.062446,-3246.72583,-2.77966809,1
1063,1.063442,-3214.95874,-2.77966809,1
1064,1.064439,-3183.06445,-2.77966809,1
1065,1.06544,-3151.04468,-2.77966809,1
1066,1.066444,-3118.90283,-2.77966809,1
1067,1.067445,-3086.6355,-2.77966809,1
1068,1.068442,-3054.24634,-2.77966809,1
1069,1.069443,-3021.73657,-2.77966809,1
1070,1.07044,-2989.10742,-2.79245138,1
1071,1.071454,-2956.36035,-2.79245138,1
1072,1.072444,-2923.49902,-2.79245138,1
1073,1.073441,-2890.51978,-2.79245138,1
1074,1.074453,-2857.42627,-2.78392911,1
1075,1.075443,-2824.22021,-2.78286386,1
1076,1.076445,-2790.90259,-2.78286386,1
1077,1.077443,-2757.47461,-2.78286386,1
1078,1.078444,-2723.94043,-2.78286386,1
1079,1.079442,-2690.29639,-2.78286386,1
1080,1.080443,-2656.5459,-2.78286386,1
1081,1.081506,-2622.69312,-2.78286386,1
1082,1.082441,-2588.73413,-2.78499436,1
1083,1.083444,-2554.6731,-2.78499436,1
1084,1.084446,-2520.51392,-2.78499436,1
1085,1.085444,-2486.25244,-2.78499436,1
1086,1.086445,-2451.89282,-2.75942802,1
1087,1.087443,-2417.43652,-2.7530365,1
1088,1.088444,-2382.88477,-2.7530365,1
1089,1.089442,-2348.23877,-2.7530365,1
1090,1.090443,-2313.50293,-2.7530365,1
1091,1.091441,-2278.67285,-2.7530365,1
1092,1.092548,-2243.75293,-2.7530365,1
1093,1.093446,-2208.74463,-2.7530365,1
1094,1.094446,-2173.64893,-2.73599219,1
1095,1.09544,-2138.46729,-2.73599219,1
1096,1.096445,-2103.2041,-2.73599219,1
1097,1.097439,-2067.85522,-2.73599219,1
