Index,Time,openloop_spd_ref,openloop_spd_fdb,start_ident_flag
5000,5.000739,3000,2.43480134,1
5001,5.001727,3000,2.43480134,1
5002,5.00274,3000,2.43480134,1
5003,5.003754,3000,2.43480134,1
5004,5.004737,3000,2.44864988,1
5005,5.005743,3000,2.44864988,1
5006,5.006727,3000,2.44864988,1
5007,5.00774,3000,2.44864988,1
5008,5.008724,3000,2.46036768,1
5009,5.009737,3000,2.45823717,1
5010,5.010721,3000,2.45823717,1
5011,5.011737,3000,2.45823717,1
5012,5.012721,3000,2.45823717,1
5013,5.013735,3000,2.45823717,1
5014,5.014736,3000,2.45823717,1
5015,5.015741,3000,2.45823717,1
5016,5.016725,3000,2.47315097,1
5017,5.017738,3000,2.47315097,1
5018,5.018722,3000,2.47315097,1
5019,5.019735,3000,2.47315097,1
5020,5.020727,3000,2.46888995,1
5021,5.021744,3000,2.46888995,1
5022,5.022728,3000,2.46888995,1
5023,5.023741,3000,2.46888995,1
5024,5.024725,3000,2.46888995,1
5025,5.025759,3000,2.46888995,1
5026,5.026726,3000,2.46888995,1
5027,5.027739,3000,2.46888995,1
5028,5.028723,3000,2.46675944,1
5029,5.029737,3000,2.46675944,1
5030,5.030721,3000,2.46675944,1
5031,5.031738,3000,2.46675944,1
5032,5.032723,3000,2.47847724,1
5033,5.033737,3000,2.46888995,1
5034,5.034722,3000,2.46888995,1
5035,5.035735,3000,2.46888995,1
5036,5.036765,3000,2.46888995,1
5037,5.037723,3000,2.46888995,1
5038,5.038737,3000,2.46888995,1
5039,5.039722,3000,2.46888995,1
5040,5.040736,3000,2.48273826,1
5041,5.041732,3000,2.48273826,1
5042,5.042738,3000,2.48273826,1
5043,5.043723,3000,2.48273826,1
5044,5.044736,3000,2.46995521,1
5045,5.045722,3000,2.46888995,1
5046,5.046736,3000,2.46888995,1
5047,5.047785,3000,2.46888995,1
5048,5.048724,3000,2.46888995,1
5049,5.049738,3000,2.46888995,1
5050,5.050723,3000,2.46888995,1
5051,5.05174,3000,2.46888995,1
5052,5.052724,3000,2.49232578,1
5053,5.053739,3000,2.49232578,1
5054,5.054724,3000,2.49232578,1
5055,5.055737,3000,2.49232578,1
5056,5.05691,3000,2.48380351,1
5057,5.057653,3000,2.47954249,1
5058,5.058728,3000,2.47954249,1
5059,5.059742,3000,2.47954249,1
5060,5.060727,3000,2.47954249,1
5061,5.061743,3000,2.47954249,1
5062,5.062726,3000,2.47954249,1
5063,5.063739,3000,2.47954249,1
5064,5.064723,3000,2.48593402,1
5065,5.065736,3000,2.48593402,1
5066,5.066728,3000,2.48593402,1
5067,5.067741,3000,2.48593402,1
5068,5.068737,3000,2.48912978,1
5069,5.069743,3000,2.48593402,1
5070,5.070727,3000,2.48593402,1
5071,5.071743,3000,2.48593402,1
5072,5.072727,3000,2.48593402,1
5073,5.07374,3000,2.48593402,1
5074,5.074724,3000,2.48593402,1
5075,5.075737,3000,2.48593402,1
5076,5.076721,3000,2.49126053,1
5077,5.077735,3000,2.49126053,1
5078,5.078785,3000,2.49126053,1
5079,5.079647,3000,2.49126053,1
5080,5.080739,3000,2.48486876,1
5081,5.081727,3000,2.49126053,1
5082,5.08274,3000,2.49126053,1
5083,5.083724,3000,2.49126053,1
5084,5.084737,3000,2.49126053,1
5085,5.085722,3000,2.49126053,1
5086,5.086734,3000,2.49126053,1
5087,5.087727,3000,2.49126053,1
5088,5.088835,3000,2.48699927,1
5089,5.089653,3000,2.48699927,1
5090,5.090737,3000,2.48699927,1
5091,5.091724,3000,2.48699927,1
5092,5.092737,3000,2.49232578,1
5093,5.093722,3000,2.50084782,1
5094,5.094735,3000,2.50084782,1
5095,5.095727,3000,2.50084782,1
5096,5.096741,3000,2.50084782,1
5097,5.097726,3000,2.50084782,1
5098,5.09874,3000,2.50084782,1
5099,5.099738,3000,2.50084782,1
5100,5.100736,3000,2.50723934,1
5101,5.101733,3000,2.50723934,1
5102,5.102739,3000,2.50723934,1
5103,5.103724,3000,2.50723934,1
5104,5.104737,3000,2.51469612,1
5105,5.105722,3000,2.52641416,1
5106,5.106736,3000,2.52641416,1
5107,5.107729,3000,2.52641416,1
5108,5.108735,3000,2.52641416,1
5109,5.109786,3000,2.52641416,1
5110,5.110726,3000,2.52641416,1
5111,5.111937,3000,2.52641416,1
5112,5.112648,3000,2.53387094,1
5113,5.113741,3000,2.53387094,1
5114,5.114726,3000,2.53387094,1
5115,5.11574,3000,2.53387094,1
5116,5.116725,3000,2.53067517,1
5117,5.117739,3000,2.54345846,1
5118,5.118724,3000,2.54345846,1
5119,5.119738,3000,2.54345846,1
5120,5.120723,3000,2.54345846,1
5121,5.121739,3000,2.54345846,1
5122,5.122737,3000,2.54345846,1
5123,5.123722,3000,2.54345846,1
5124,5.124736,3000,2.54878473,1
5125,5.125729,3000,2.54878473,1
5126,5.126735,3000,2.54878473,1
5127,5.127726,3000,2.54878473,1
5128,5.128753,3000,2.56582904,1
5129,5.129728,3000,2.57541633,1
5130,5.13075,3000,2.57541633,1
5131,5.131742,3000,2.57541633,1
5132,5.13274,3000,2.57541633,1
5133,5.133725,3000,2.57541633,1
5134,5.134737,3000,2.57541633,1
5135,5.135722,3000,2.57541633,1
5136,5.136735,3000,2.57328582,1
5137,5.137727,3000,2.57328582,1
5138,5.13874,3000,2.57328582,1
5139,5.139724,3000,2.57328582,1
5140,5.140737,3000,2.58500361,1
5141,5.141733,3000,2.58500361,1
5142,5.142734,3000,2.58500361,1
5143,5.14374,3000,2.58500361,1
5144,5.144724,3000,2.58500361,1
5145,5.145737,3000,2.58500361,1
5146,5.146729,3000,2.58500361,1
5147,5.147742,3000,2.58500361,1
5148,5.148726,3000,2.59246063,1
5149,5.14974,3000,2.59246063,1
5150,5.150724,3000,2.59246063,1
5151,5.151739,3000,2.59246063,1
5152,5.152735,3000,2.59459114,1
5153,5.153741,-3000,2.59565639,1
5154,5.154725,-3000,2.59565639,1
5155,5.155738,-3000,2.59565639,1
5156,5.156722,-3000,2.59565639,1
5157,5.157735,-3000,2.59565639,1
5158,5.158727,-3000,2.59565639,1
5159,5.15974,-3000,2.59565639,1
5160,5.160725,-3000,2.60311317,1
5161,5.161741,-3000,2.60311317,1
5162,5.162726,-3000,2.60311317,1
5163,5.163774,-3000,2.60311317,1
5164,5.164653,-3000,2.61376572,1
5165,5.165738,-3000,2.58180785,1
5166,5.166723,-3000,2.58180785,1
5167,5.167737,-3000,2.58180785,1
5168,5.168722,-3000,2.58180785,1
5169,5.169735,-3000,2.58180785,1
5170,5.170728,-3000,2.58180785,1
5171,5.171738,-3000,2.58180785,1
5172,5.172735,-3000,2.49871731,1
5173,5.173729,-3000,2.49871731,1
5174,5.174741,-3000,2.49871731,1
5175,5.175739,-3000,2.49871731,1
5176,5.176724,-3000,2.3975172,1
5177,5.177738,-3000,2.31975293,1
5178,5.178722,-3000,2.31975293,1
5179,5.179736,-3000,2.31975293,1
5180,5.180721,-3000,2.31975293,1
5181,5.181738,-3000,2.31975293,1
5182,5.182723,-3000,2.31975293,1
5183,5.183737,-3000,2.31975293,1
5184,5.184735,-3000,2.21748734,1
5185,5.185741,-3000,2.21748734,1
5186,5.186726,-3000,2.21748734,1
5187,5.18774,-3000,2.21748734,1
5188,5.188725,-3000,2.13013577,1
5189,5.189739,-3000,2.07048106,1
5190,5.190724,-3000,2.07048106,1
5191,5.191741,-3000,2.07048106,1
5192,5.192724,-3000,2.07048106,1
5193,5.193736,-3000,2.07048106,1
5194,5.194741,-3000,2.07048106,1
5195,5.195738,-3000,2.07048106,1
5196,5.196723,-3000,1.98952103,1
5197,5.197736,-3000,1.98952103,1
5198,5.198728,-3000,1.98952103,1
5199,5.199741,-3000,1.98952103,1
5200,5.200725,-3000,1.87979877,1
5201,5.201741,-3000,1.80096912,1
5202,5.202725,-3000,1.80096912,1
5203,5.203739,-3000,1.80096912,1
5204,5.204723,-3000,1.80096912,1
5205,5.205739,-3000,1.80096912,1
